,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
60,Germany,816000.0,821500.0,1236000.0,1418000.0,1354600.0,1267900.0,1266000.0,1049000.0,949200.0,975500.0,906000.0,903000.0,980001.0,960393.0,876614.0,699996.0,605329.0,578866.0,582719.0,593787.0,594250.0,571672.0,589735.0,187545.0,216956.0,316098.0,669468.0,970357.0,1063835.0,1146682.0,1210596.0,1255694.0
74,"Iran, Islamic Rep.",4174401.0,4404995.0,4150723.0,2495038.0,2236350.0,2071988.0,2030359.0,1982553.0,1931332.0,1835688.0,1868000.0,1868000.0,1306599.0,984895.0,1045975.0,974301.0,968368.0,963544.0,980104.0,1070483.0,1073363.0,886465.0,868239.0,857352.0,982025.0,979435.0,979435.0,979435.0,979435.0,979435.0,800025.0,798343.0
81,Jordan,944459.0,989647.0,1042393.0,1140664.0,1240385.0,1329466.0,1390473.0,1438102.0,1488225.0,1542413.0,1610630.0,1663289.0,1699469.0,1741365.0,1777765.0,1828839.0,2358587.0,2403763.0,2452009.0,2434485.0,2393339.0,2430580.0,2337341.0,2712877.0,2771492.0,2808343.0,2860679.0,2897751.0,2957877.0,2966079.0,3009472.0,3047612.0
87,Lebanon,309021.0,320731.0,330231.0,335846.0,343480.0,351640.0,358666.0,365160.0,371294.0,377612.0,382744.0,387734.0,392059.0,397051.0,400905.0,405248.0,428602.0,464292.0,472601.0,476038.0,438123.0,445125.0,575456.0,1303867.0,1606698.0,1529213.0,1476623.0,1468431.0,1424728.0,1392174.0,1349925.0,1328541.0
118,Palestine,931338.0,987508.0,1055436.0,1117275.0,1178777.0,1224996.0,1270333.0,1308438.0,1348288.0,1384655.0,1428891.0,1483394.0,1532589.0,1587920.0,1634952.0,1685851.0,1739266.0,1793901.0,1836123.0,1885188.0,1841769.0,1895043.0,1944544.0,1994493.0,2051096.0,2104001.0,2158274.0,2214783.0,2267747.0,2319073.0,2348243.0,2400208.0
120,Pakistan,3255975.0,3099891.0,1629218.0,1479266.0,1055435.0,1202493.0,1202703.0,1202733.0,1202462.0,1202015.0,2001460.0,2198792.0,1227429.0,1124295.0,1290980.0,1084689.0,1044464.0,2035025.0,1780935.0,1740709.0,1900619.0,1702698.0,1638452.0,1616505.0,1505521.0,1561157.0,1352551.0,1393132.0,1404008.0,1419596.0,1438940.0,1491070.0
149,Sudan,1031050.0,729200.0,725900.0,745200.0,727174.0,674071.0,393874.0,374414.0,391496.0,390995.0,414928.0,349209.0,328177.0,138162.0,141587.0,147255.0,196200.0,222720.0,181605.0,186292.0,178305.0,139407.0,152188.0,159848.0,277818.0,309632.0,421459.0,906590.0,1078280.0,1055489.0,1040288.0,1103918.0
154,Syrian Arab Republic,289013.0,298260.0,312352.0,359814.0,372750.0,378729.0,379894.0,383907.0,391004.0,384846.0,390987.0,399596.0,408515.0,417503.0,437337.0,458135.0,1144565.0,1955234.0,1567590.0,1526573.0,1482272.0,1242381.0,975685.0,666541.0,677751.0,555766.0,562821.0,571298.0,578956.0,578525.0,584034.0,589542.0
161,Turkiye,28000.0,30462.0,28477.0,23267.0,24927.0,12841.0,8166.0,2448.0,2529.0,2810.0,3096.0,3466.0,3302.0,2488.0,3029.0,2395.0,2624.0,6941.0,11090.0,10339.0,10025.0,14457.0,267063.0,609931.0,1587365.0,2541348.0,2869419.0,3480350.0,3681688.0,3579531.0,3652362.0,3759817.0
169,United States,464887.0,513885.0,579938.0,623056.0,631046.0,623279.0,607005.0,563813.0,533951.0,521134.0,508209.0,515851.0,485173.0,452536.0,420788.0,379330.0,843434.0,281154.0,279468.0,275393.0,264505.0,264752.0,262006.0,263653.0,267214.0,273198.0,272963.0,287135.0,313242.0,341715.0,340846.0,339179.0
